blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,40010,3125,55,11.0,432,105,0,26,15,33,85,15,1,0,1,4,1,2,1,0,0,1,1,0,0,30033,853,48,9.6,423,79,1,15,26,19,44,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,22,76,133,111,4,236,84,64,89,235
1,37583,1174,54,10.8,493,120,0,14,19,20,96,13,0,0,0,2,1,1,0,0,0,0,2,0,0,41484,8268,55,11.0,515,116,1,19,14,34,101,16,1,0,3,3,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,54,432,104,61,51,119,3,412,5,24
1,36454,9526,56,11.2,466,135,1,14,11,18,40,13,1,1,2,6,5,0,1,1,1,1,2,0,0,31156,1673,53,10.6,472,91,0,11,14,10,38,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,517,40,876,24,81,22,120,555,38,8
1,39392,2858,60,12.0,475,156,1,21,10,47,75,21,0,0,0,2,1,0,1,0,0,1,1,0,0,33336,3038,54,10.8,444,99,0,10,21,27,56,17,1,0,1,2,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,201,76,84,22,875,55,64,44,164,429
1,37498,3081,56,11.2,523,104,1,18,18,23,48,33,0,0,0,1,1,0,0,0,1,2,1,0,0,38683,2003,58,11.6,532,124,0,18,18,32,77,18,1,0,3,2,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,58,5,517,29,497,64,69,875,202,133
0,37816,3087,58,11.6,425,104,0,21,28,13,42,14,0,0,0,1,0,1,0,0,0,0,1,0,0,40407,3057,61,12.2,421,111,1,28,21,41,43,10,1,0,3,4,1,1,2,0,1,3,1,0,0,0,0,0,0,0,1,1,0,1,0,157,84,37,360,104,81,53,74,15,56
1,57490,5940,79,15.8,192,0,1,43,34,106,0,0,1,1,2,3,3,0,0,2,0,0,0,0,0,50902,52,73,14.6,182,0,0,34,43,90,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,54,555,4,111,113,22,122,236,53
1,41855,1676,59,11.8,574,137,0,19,16,25,47,26,1,0,2,3,2,0,1,0,1,2,2,0,0,36333,5173,58,11.6,448,115,1,16,19,24,53,14,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,29,497,876,114,39,40,84,119,164,28
1,36180,812,52,10.4,379,103,1,25,10,26,38,10,1,0,1,4,1,1,2,0,0,1,1,0,0,26547,905,45,9.0,377,66,0,10,25,4,35,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,117,164,104,7,22,421,69,84,236,267
0,24916,2201,42,8.4,315,82,0,5,28,5,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,40743,5468,53,10.6,393,102,1,28,5,39,27,5,1,1,1,8,5,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,104,360,3,126,235,875,119,44,20,107
