blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,40010,3125,55,11.0,432,105,0,26,15,33,85,15,1,0,1,4,1,2,1,0,0,1,1,0,0,30033,853,48,9.6,423,79,1,15,26,19,44,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,22,76,133,111,4,236,84,64,89,235
1,52896,3098,69,13.8,691,161,0,21,28,37,152,32,0,0,0,2,1,1,0,0,0,0,2,0,0,60793,4215,71,14.2,662,199,1,28,21,52,161,29,1,1,3,10,5,3,2,2,1,4,0,1,1,0,0,0,0,0,2,1,0,1,0,54,432,104,61,51,119,3,412,5,24
1,36454,9526,56,11.2,466,135,1,14,11,18,40,13,1,1,2,6,5,0,1,1,1,1,2,0,0,31156,1673,53,10.6,472,91,0,11,14,10,38,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,517,40,876,24,81,22,120,555,38,8
1,51129,4029,70,14.0,560,204,1,29,10,69,98,29,0,0,0,4,2,0,2,0,0,2,1,1,0,40152,2269,59,11.8,554,123,0,10,29,27,76,21,1,0,1,3,0,2,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,201,76,84,22,875,55,64,44,164,429
1,50907,6207,68,13.6,603,124,1,30,21,42,67,49,0,0,0,2,2,0,0,0,1,2,1,1,0,46056,1666,62,12.4,593,144,0,21,30,39,100,24,1,0,3,3,0,1,2,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,58,5,517,29,497,64,69,875,202,133
0,50629,3194,69,13.8,533,116,0,29,48,29,53,21,0,0,0,1,0,1,0,0,0,0,1,0,0,61088,5363,77,15.4,539,160,1,48,29,74,56,17,1,1,3,10,5,2,3,1,1,4,1,1,1,0,0,0,0,0,2,1,0,1,0,157,84,37,360,104,81,53,74,15,56
1,57490,5940,79,15.8,192,0,1,43,34,106,0,0,1,1,2,3,3,0,0,2,0,0,0,0,0,50902,52,73,14.6,182,0,0,34,43,90,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,54,555,4,111,113,22,122,236,53
1,61638,9270,76,15.2,757,195,0,35,21,59,71,38,1,1,2,8,5,1,2,2,1,3,2,0,0,49506,1908,70,14.0,578,157,1,21,35,33,79,19,0,0,0,3,0,2,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,29,497,876,114,39,40,84,119,164,28
1,36180,812,52,10.4,379,103,1,25,10,26,38,10,1,0,1,4,1,1,2,0,0,1,1,0,0,26547,905,45,9.0,377,66,0,10,25,4,35,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,117,164,104,7,22,421,69,84,236,267
0,24916,2201,42,8.4,315,82,0,5,28,5,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,40743,5468,53,10.6,393,102,1,28,5,39,27,5,1,1,1,8,5,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,104,360,3,126,235,875,119,44,20,107
0,48538,3107,66,13.2,698,154,1,17,23,14,66,41,1,0,1,3,1,1,1,0,0,0,2,0,0,54678,7129,71,14.2,661,224,0,23,17,36,131,31,0,0,0,4,2,1,1,0,1,4,0,1,1,0,0,0,0,0,1,2,0,1,0,59,117,81,164,43,114,51,76,412,236
0,53137,2205,70,14.0,722,149,0,23,41,43,77,37,0,0,0,0,0,0,0,0,0,1,0,0,0,67759,8182,80,16.0,767,224,1,41,23,64,106,38,1,1,1,10,3,3,4,3,1,2,2,1,0,0,1,0,0,0,1,0,1,0,0,876,126,29,13,497,39,202,104,80,38
0,49394,2599,70,14.0,725,160,0,14,19,32,81,33,0,0,0,3,1,1,1,0,1,2,0,0,0,56560,3194,72,14.4,769,193,1,19,14,23,67,32,1,1,1,8,3,3,2,2,0,2,2,1,0,0,1,1,0,0,0,1,0,1,0,245,21,24,44,517,164,58,60,875,236
1,62815,8961,76,15.2,635,250,0,44,14,47,99,49,1,1,3,9,5,2,2,2,0,2,2,1,0,47623,1795,64,12.8,708,118,1,14,44,14,85,32,0,0,0,4,1,1,2,0,1,2,0,0,0,1,0,0,1,0,0,0,1,1,0,60,238,115,107,80,120,69,22,111,236
0,47520,2047,64,12.8,584,138,1,22,30,40,77,34,1,0,1,2,1,1,0,0,0,1,1,0,0,54998,5843,73,14.6,614,198,0,30,22,64,79,29,0,0,0,4,1,1,2,0,1,3,1,1,0,0,1,0,0,0,1,1,1,0,0,120,3,235,875,58,150,497,29,876,517
