blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
0,32449,2406,50,10.0,397,96,0,12,16,15,75,10,0,0,0,0,0,0,0,0,0,1,1,0,0,35003,2415,54,10.8,448,141,1,16,12,19,37,16,1,0,3,4,1,1,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,117,76,4,164,81,120,236,875,22,8
0,31388,3272,52,10.4,417,111,1,14,8,14,41,11,0,0,0,2,1,0,1,0,0,1,1,0,0,29382,3382,49,9.8,432,89,0,8,14,8,56,9,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,61,117,80,22,104,99,203,51,58,142
0,27859,1524,48,9.6,373,99,0,9,25,11,51,6,0,0,0,0,0,0,0,0,1,1,0,0,0,36885,4960,54,10.8,435,90,1,25,9,24,29,10,1,0,3,5,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,76,164,412,84,51,104,8,201,105,21
0,31524,2659,49,9.8,399,108,0,12,18,21,83,10,0,0,0,0,0,0,0,0,0,1,1,0,0,31638,2663,50,10.0,384,97,1,18,12,17,60,11,1,0,1,3,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,58,117,145,76,80,203,412,236,142,84
0,27884,3191,50,10.0,481,87,0,3,8,6,37,12,0,0,0,1,0,0,1,0,1,1,1,0,0,30337,5317,53,10.6,461,121,1,8,3,11,65,18,1,0,3,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,12,61,21,104,41,145,875,517,777,76
0,28099,2484,49,9.8,396,76,0,10,23,15,25,5,0,0,0,0,0,0,0,0,1,1,0,0,0,35268,7158,53,10.6,417,96,1,23,10,29,37,10,1,0,2,3,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,43,421,39,57,119,235,84,412,58,876
1,32392,3452,53,10.6,448,128,0,13,16,10,28,17,0,0,0,0,0,0,0,0,0,0,1,0,0,32840,2505,53,10.6,434,103,1,16,13,24,106,13,1,0,3,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,117,82,876,23,145,236,21,98,55,141
1,34446,4901,52,10.4,435,114,1,14,10,14,46,16,1,0,3,3,1,1,1,0,0,1,1,0,0,29852,1372,49,9.8,428,95,0,10,14,19,42,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,51,876,875,25,58,164,53,236,517,235
1,34924,924,50,10.0,409,80,0,24,10,27,57,7,1,0,3,3,1,1,1,0,1,1,1,0,0,27077,2019,45,9.0,404,74,1,10,24,10,24,10,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84,427,80,81,114,223,120,134,164,145
0,27659,1724,49,9.8,392,80,0,8,26,13,39,11,0,0,0,0,0,0,0,0,0,0,0,0,0,37337,4266,53,10.6,428,82,1,26,8,34,118,10,1,0,3,3,1,1,1,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,91,51,412,516,245,164,432,39,64,84
1,36669,2151,54,10.8,465,133,1,21,11,21,61,14,0,0,0,1,0,0,1,0,0,1,1,0,0,29458,4145,50,10.0,402,108,0,11,21,9,35,10,1,0,1,1,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,1,0,164,30,202,246,80,102,27,39,62,235
1,32997,2764,49,9.8,395,103,0,18,8,21,72,15,0,0,0,2,0,0,2,0,1,2,1,0,0,24477,3392,41,8.2,340,64,1,8,18,8,50,9,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,555,246,76,106,429,145,142,412,164,64
1,33210,862,50,10.0,420,96,1,14,8,14,56,15,1,0,3,4,2,1,1,0,1,2,2,0,0,29926,3006,50,10.0,451,119,0,8,14,13,46,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,421,69,111,202,164,21,68,236,89,60
