blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,25941,5021,45,9.0,326,77,1,14,6,15,47,8,0,0,0,0,0,0,0,0,1,1,1,0,0,22149,3894,41,8.2,290,79,0,6,14,10,26,7,1,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,98,81,127,30,164,51,8,121,99,4
1,25731,1796,41,8.2,294,67,1,16,9,17,23,7,1,0,3,2,1,0,1,0,1,2,1,0,0,22792,2667,41,8.2,287,95,0,9,16,11,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,51,114,91,80,60,43,235,58,164,30
1,24333,3293,44,8.8,338,64,1,11,8,13,22,10,1,0,1,1,0,1,0,0,1,1,1,0,0,22033,3188,44,8.8,329,70,0,8,11,9,89,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,145,412,61,24,875,81,432,236,8,245
0,21972,3046,39,7.8,260,53,0,11,15,11,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,26535,3200,43,8.6,308,62,1,15,11,14,54,9,1,0,3,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,121,22,4,84,432,80,60,58,126,429
1,26425,4225,45,9.0,306,83,1,14,10,14,32,8,1,0,1,1,0,1,0,0,1,1,1,0,0,21707,2737,41,8.2,290,61,0,10,14,9,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,61,58,64,497,236,89,22,84,105,104
1,22510,1795,39,7.8,307,59,1,11,14,8,38,3,0,0,0,0,0,0,0,0,1,1,1,0,0,23043,1793,41,8.2,273,68,0,14,11,16,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,202,80,105,203,41,555,27,876,145,114
1,27079,3919,42,8.4,249,70,0,23,11,32,32,6,0,0,0,0,0,0,0,0,1,1,1,0,0,23254,2759,38,7.6,268,45,1,11,23,17,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,104,164,202,80,105,51,99,60,24
0,21179,974,41,8.2,315,59,0,7,11,17,25,7,0,0,0,0,0,0,0,0,0,0,1,0,0,23084,1794,43,8.6,336,58,1,11,7,12,27,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,105,22,104,223,236,235,875,517,203,39
0,22849,3654,42,8.4,323,65,1,8,11,7,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,23137,3837,42,8.4,289,90,0,11,8,14,26,9,1,0,3,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,28,78,99,51,3,24,2,105,202,235
1,27899,4359,44,8.8,293,80,1,19,8,31,28,6,1,0,1,2,0,2,0,0,1,1,1,0,0,20994,2694,40,8.0,299,55,0,8,19,12,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,497,114,523,106,105,203,61,43,201,22
1,24001,4156,42,8.4,314,71,1,10,11,14,25,9,0,0,0,0,0,0,0,0,0,0,1,0,0,21802,2042,38,7.6,293,48,0,11,10,14,31,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,412,203,22,122,111,60,202,246,164
0,21180,2490,41,8.2,295,74,0,6,13,8,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,26709,4608,43,8.6,374,62,1,13,6,17,37,9,1,0,3,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,84,43,245,202,126,99,51,104,82,142
0,20771,1913,42,8.4,292,70,0,6,20,11,40,14,0,0,0,0,0,0,0,0,0,0,0,0,0,27847,1186,46,9.2,332,86,1,20,6,13,46,11,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,120,51,235,142,875,164,202,80,876,61
0,22142,3455,43,8.6,320,78,1,6,7,5,24,7,0,0,0,0,0,0,0,0,1,1,0,0,0,21861,2136,44,8.8,327,68,0,7,6,9,25,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,80,245,26,236,523,201,106,85,235,61
0,23582,2567,39,7.8,289,54,1,9,9,10,30,9,1,0,3,1,0,0,1,0,1,1,1,0,0,24773,2933,42,8.4,341,86,0,9,9,11,42,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,203,235,57,80,117,126,22,30,44,142
0,23298,2590,43,8.6,363,82,1,6,5,4,83,12,1,0,1,1,0,1,0,0,0,0,1,0,0,21058,2853,44,8.8,370,69,0,5,6,1,69,20,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,104,432,142,15,164,111,202,876,236,126
