blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,6558,3108,17,3.4,65,19,0,2,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6571,2801,17,3.4,70,16,1,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,76,133,111,4,236,84,64,89,235
1,6032,1332,15,3.0,64,12,0,1,5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7550,1095,15,3.0,54,12,1,5,1,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,432,104,61,51,119,3,412,5,24
1,6171,2621,17,3.4,62,24,1,1,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5505,3005,17,3.4,60,19,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,40,876,24,81,22,120,555,38,8
1,5992,3492,17,3.4,75,23,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5913,3413,18,3.6,70,28,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,76,84,22,875,55,64,44,164,429
1,6164,1839,17,3.4,63,12,1,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6209,2059,17,3.4,73,20,0,1,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,5,517,29,497,64,69,875,202,133
0,4919,2294,15,3.0,35,12,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6674,3474,18,3.6,61,28,1,3,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,84,37,360,104,81,53,74,15,56
1,15157,4887,30,6.0,33,0,1,5,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15405,7055,30,6.0,36,0,0,8,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,54,555,4,111,113,22,122,236,53
1,5771,2371,16,3.2,73,24,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6273,2148,17,3.4,62,16,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,497,876,114,39,40,84,119,164,28
1,6300,3150,15,3.0,63,19,1,1,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5572,2872,16,3.2,64,20,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,164,104,7,22,421,69,84,236,267
0,5992,2117,16,3.2,61,19,0,1,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6317,2892,16,3.2,55,12,1,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,360,3,126,235,875,119,44,20,107
0,6578,2053,15,3.0,50,16,1,3,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6407,2982,16,3.2,58,24,0,2,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,117,81,164,43,114,51,76,412,236
0,5772,2247,17,3.4,62,16,0,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6932,2307,18,3.6,72,24,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,126,29,13,497,39,202,104,80,38
0,6400,2300,17,3.4,55,27,0,2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6865,2315,16,3.2,65,14,1,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,21,24,44,517,164,58,60,875,236
1,6522,3222,15,3.0,48,13,0,3,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6534,2239,14,2.8,64,12,1,2,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,238,115,107,80,120,69,22,111,236
0,6293,2618,18,3.6,63,24,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6159,2704,17,3.4,82,27,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3,235,875,58,150,497,29,876,517
1,14837,6487,30,6.0,35,0,1,5,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13921,3826,30,6.0,33,0,0,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,43,55,80,37,4,31,9,235,134
1,15579,5979,30,6.0,33,0,0,9,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14819,2384,30,6.0,41,0,1,5,9,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,16,154,246,38,67,7,268,136,98
0,6048,2948,15,3.0,42,16,0,2,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6960,3000,15,3.0,58,8,1,4,2,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,99,350,245,51,54,202,99,517,59
0,15370,7495,30,6.0,33,0,0,8,5,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15228,4378,30,6.0,41,0,1,5,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,111,98,236,85,51,103,235,58,90
1,14211,6711,30,6.0,35,0,1,2,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13768,4893,30,6.0,36,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,202,114,90,53,36,25,164,121,40
1,15772,4887,30,6.0,41,0,1,8,6,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15123,3458,30,6.0,30,0,0,6,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,134,119,143,30,245,67,21,50,82
0,13626,4726,29,5.8,29,0,0,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15137,6237,30,6.0,31,0,1,6,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,121,63,142,96,53,35,4,77
1,14440,3140,30,6.0,32,0,0,4,7,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15349,4924,30,6.0,31,0,1,7,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,238,222,44,427,126,53,69,876,40
