blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,40010,3125,55,11.0,432,105,0,26,15,33,85,15,1,0,1,4,1,2,1,0,0,1,1,0,0,30033,853,48,9.6,423,79,1,15,26,19,44,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,22,76,133,111,4,236,84,64,89,235
1,36671,2376,54,10.8,477,120,0,14,14,20,94,13,0,0,0,2,1,1,0,0,0,0,2,0,0,35798,2582,52,10.4,490,111,1,14,14,21,93,14,1,0,3,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,54,432,104,61,51,119,3,412,5,24
1,36454,9526,56,11.2,466,135,1,14,11,18,40,13,1,1,2,6,5,0,1,1,1,1,2,0,0,31156,1673,53,10.6,472,91,0,11,14,10,38,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,517,40,876,24,81,22,120,555,38,8
1,36903,5093,57,11.4,455,148,1,19,10,42,64,18,0,0,0,1,0,0,1,0,0,1,1,0,0,32351,2503,54,10.8,436,95,0,10,19,27,53,14,1,0,1,2,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,201,76,84,22,875,55,64,44,164,429
1,35988,3546,55,11.0,492,100,1,18,18,23,47,30,0,0,0,1,1,0,0,0,1,2,1,0,0,37158,3738,56,11.2,507,112,0,18,18,32,72,17,1,0,3,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,58,5,517,29,497,64,69,875,202,133
0,36250,2269,56,11.2,400,88,0,21,27,13,38,11,0,0,0,1,0,1,0,0,0,0,1,0,0,38569,3409,58,11.6,398,101,1,27,21,41,38,8,1,0,3,4,1,1,2,0,1,3,0,0,0,0,0,0,0,0,1,1,0,1,0,157,84,37,360,104,81,53,74,15,56
1,57490,5940,79,15.8,192,0,1,43,34,106,0,0,1,1,2,3,3,0,0,2,0,0,0,0,0,50902,52,73,14.6,182,0,0,34,43,90,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,54,555,4,111,113,22,122,236,53
1,39354,4490,57,11.4,563,135,0,17,13,22,46,26,1,0,2,3,2,0,1,0,1,2,2,0,0,33175,3915,54,10.8,434,115,1,13,17,20,48,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,29,497,876,114,39,40,84,119,164,28
1,36180,812,52,10.4,379,103,1,25,10,26,38,10,1,0,1,4,1,1,2,0,0,1,1,0,0,26547,905,45,9.0,377,66,0,10,25,4,35,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,117,164,104,7,22,421,69,84,236,267
0,24916,2201,42,8.4,315,82,0,5,28,5,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,40743,5468,53,10.6,393,102,1,28,5,39,27,5,1,1,1,8,5,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,104,360,3,126,235,875,119,44,20,107
0,35195,4077,53,10.6,517,115,1,13,11,10,40,20,1,0,1,2,0,1,1,0,0,0,2,0,0,33658,1793,54,10.8,474,134,0,11,13,8,74,14,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,59,117,81,164,43,114,51,76,412,236
0,35989,2361,56,11.2,487,97,0,16,22,26,43,20,0,0,0,0,0,0,0,0,0,1,0,0,0,41129,1774,58,11.6,509,142,1,22,16,26,61,15,1,0,1,5,2,1,2,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,876,126,29,13,497,39,202,104,80,38
