gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragnoType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragnoType,redDragon,redRiftHeralds
4567943509,Win,37157,3332,56,11.2,490,105,1,21,6,22,55,19,0,0,[],1,1,0,0,0,1,"['FIRE_DRAGON', 'WATER_DRAGON']",2,0,Fail,30661,2391,50,10.0,420,130,0,6,21,6,90,18,1,0,['TOP_LANE'],3,0,1,2,0,0,[],0,1
4567754532,Win,42013,4708,57,11.4,460,108,1,25,7,37,58,20,1,1,['TOP_LANE'],7,5,1,1,1,0,[],0,2,Fail,29955,1230,49,9.8,403,111,0,7,25,10,137,18,0,0,[],1,0,1,0,0,1,"['EARTH_DRAGON', 'FIRE_DRAGON']",2,0
4567655240,Win,56716,4637,72,14.4,700,196,1,29,16,36,79,46,1,1,['TOP_LANE'],8,3,3,2,3,0,"['EARTH_DRAGON', 'AIR_DRAGON', 'AIR_DRAGON']",3,2,Fail,45361,4492,68,13.6,663,146,0,16,29,32,228,25,0,0,[],3,2,0,1,0,1,['WATER_DRAGON'],1,0
4567622214,Win,39331,5663,52,10.4,361,91,1,32,8,44,34,7,1,0,['TOP_LANE'],2,1,1,0,0,1,"['WATER_DRAGON', 'FIRE_DRAGON']",2,1,Fail,24946,-334,44,8.8,299,77,0,8,32,10,30,8,0,0,[],2,1,0,1,0,0,[],0,0
4567328712,Win,50018,6523,63,12.6,479,142,1,39,13,59,90,21,1,0,['MID_LANE'],8,5,2,1,0,1,"['AIR_DRAGON', 'EARTH_DRAGON', 'FIRE_DRAGON']",3,2,Fail,34773,2498,53,10.6,459,81,0,13,39,17,70,12,0,1,[],3,0,2,1,1,0,[],0,0
4567272710,Win,51266,6794,72,14.4,614,172,0,30,12,35,141,26,1,1,['MID_LANE'],8,4,1,3,2,0,"['EARTH_DRAGON', 'AIR_DRAGON']",2,2,Fail,40199,2504,60,12.0,610,132,1,12,30,13,63,29,0,0,[],3,1,1,1,0,1,['FIRE_DRAGON'],1,0
4567237445,Fail,49559,1306,67,13.4,656,141,0,21,26,32,63,30,0,0,[],0,0,0,0,0,1,"['EARTH_DRAGON', 'FIRE_DRAGON']",2,1,Win,54946,5246,73,14.6,615,198,1,26,21,48,74,25,1,0,['BOT_LANE'],8,3,2,3,0,0,"['AIR_DRAGON', 'AIR_DRAGON']",2,1
4567173601,Win,59761,5610,76,15.2,669,224,0,32,22,52,95,29,0,1,[],6,1,2,3,2,1,"['WATER_DRAGON', 'EARTH_DRAGON']",2,0,Fail,51997,3262,70,14.0,722,161,1,22,32,15,70,39,1,0,['MID_LANE'],4,3,1,0,0,0,['FIRE_DRAGON'],1,2
4567139388,Win,39030,5714,61,12.2,574,133,1,15,6,18,87,19,0,0,[],2,2,0,0,0,1,"['AIR_DRAGON', 'FIRE_DRAGON']",2,0,Fail,30478,2758,54,10.8,526,98,0,6,15,5,133,15,1,0,['BOT_LANE'],3,0,2,1,0,0,[],0,2
4664601718,Win,42712,5129,59,11.8,435,108,0,33,15,34,72,8,0,0,[],4,2,0,2,0,1,"['EARTH_DRAGON', 'FIRE_DRAGON']",2,0,Fail,35814,1721,52,10.4,467,135,1,15,33,15,32,11,1,0,['MID_LANE'],3,1,2,0,0,0,[],0,1
4664429014,Win,52739,5146,68,13.6,591,182,0,28,15,33,65,32,1,0,['TOP_LANE'],4,2,1,1,0,1,['EARTH_DRAGON'],1,2,Fail,51213,1689,69,13.8,582,211,1,15,28,29,119,22,0,1,[],6,4,1,1,1,0,"['WATER_DRAGON', 'AIR_DRAGON', 'AIR_DRAGON']",3,0
4664309125,Fail,55685,4420,70,14.0,733,161,0,24,20,44,158,50,0,0,[],3,2,1,0,0,1,['EARTH_DRAGON'],1,1,Win,56404,4336,73,14.6,693,245,1,20,24,36,84,62,1,0,['MID_LANE'],6,2,2,2,0,0,"['WATER_DRAGON', 'FIRE_DRAGON', 'FIRE_DRAGON']",3,1
4664261864,Fail,59431,3151,75,15.0,635,219,0,22,27,25,233,32,0,1,[],8,3,3,2,1,0,[],0,2,Win,54976,3455,73,14.6,697,151,1,27,22,45,78,32,1,0,['BOT_LANE'],3,1,0,2,0,1,"['FIRE_DRAGON', 'EARTH_DRAGON', 'AIR_DRAGON', 'AIR_DRAGON']",4,0
4663294985,Win,82109,13651,90,18.0,365,0,1,58,48,157,50,0,1,0,['MID_LANE'],4,4,0,0,1,0,[],0,0,Fail,74673,3438,90,18.0,292,0,0,48,58,101,0,0,0,1,[],2,2,0,0,1,0,[],0,0
4663341735,Win,90762,12042,90,18.0,411,0,0,61,74,130,0,0,0,0,[],4,4,0,0,1,0,[],0,0,Fail,92485,8505,90,18.0,417,0,1,74,61,142,15,0,1,1,['MID_LANE'],4,4,0,0,3,0,[],0,0
4663064508,Win,38314,6054,49,9.8,360,137,1,24,8,36,63,14,1,0,['BOT_LANE'],5,2,1,2,0,1,['EARTH_DRAGON'],1,2,Fail,21655,1630,40,8.0,290,56,0,8,24,13,28,6,0,0,[],1,0,1,0,0,0,[],0,0
4663019683,Win,36450,7985,52,10.4,372,127,1,27,7,44,31,10,1,0,['BOT_LANE'],2,1,0,1,0,1,"['AIR_DRAGON', 'FIRE_DRAGON']",2,1,Fail,24193,1450,44,8.8,334,62,0,7,27,8,31,2,0,0,[],2,1,1,0,0,0,[],0,0
4662935531,Win,58890,3302,72,14.4,544,147,1,46,18,96,215,23,0,1,[],8,4,1,3,1,1,"['FIRE_DRAGON', 'WATER_DRAGON', 'AIR_DRAGON']",3,1,Fail,46918,2903,61,12.2,564,156,0,18,46,31,58,31,1,0,['TOP_LANE'],3,1,1,1,0,0,[],0,1
4662808739,Win,29606,4598,49,9.8,359,99,0,19,5,27,27,10,0,0,[],0,0,0,0,0,1,['AIR_DRAGON'],1,0,Fail,25373,2120,45,9.0,388,97,1,5,19,9,34,11,1,0,['BOT_LANE'],1,0,0,1,0,0,[],0,1
4662605392,Win,43965,4607,60,12.0,470,117,1,33,12,41,60,10,0,0,[],3,1,2,0,0,1,"['EARTH_DRAGON', 'AIR_DRAGON']",2,1,Fail,34319,2519,53,10.6,431,89,0,12,33,16,67,14,1,0,['MID_LANE'],4,1,1,2,0,0,[],0,1
4662446682,Fail,54679,3504,69,13.8,662,155,0,31,35,37,69,41,1,0,['MID_LANE'],1,1,0,0,0,0,[],0,1,Win,62853,-137,76,15.2,665,219,1,35,31,54,124,20,0,1,[],10,5,3,2,2,1,"['EARTH_DRAGON', 'WATER_DRAGON', 'AIR_DRAGON', 'AIR_DRAGON']",4,1
