,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
0,1,"[22, 76, 133, 111, 4]",40010,3125,55,11.0,432,105,0,26,15,33,85,15,1,0,1,4,1,2,1,0,0,1,1,0,0,"[236, 84, 64, 89, 235]",30033,853,48,9.6,423,79,1,15,26,19,44,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,"[54, 432, 104, 61, 51]",50004,3905,67,13.4,639,153,0,21,28,37,134,23,0,0,0,2,1,1,0,0,0,0,2,0,0,"[119, 3, 412, 5, 24]",57928,3874,70,14.0,624,175,1,28,21,52,146,25,1,1,3,10,5,3,2,2,1,3,0,1,1,0,0,0,0,0,1,1,0,1,0
2,1,"[517, 40, 876, 24, 81]",36454,9526,56,11.2,466,135,1,14,11,18,40,13,1,1,2,6,5,0,1,1,1,1,2,0,0,"[22, 120, 555, 38, 8]",31156,1673,53,10.6,472,91,0,11,14,10,38,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,1,"[201, 76, 84, 22, 875]",51129,4029,70,14.0,560,204,1,29,10,69,98,29,0,0,0,4,2,0,2,0,0,2,1,1,0,"[55, 64, 44, 164, 429]",40152,2269,59,11.8,554,123,0,10,29,27,76,21,1,0,1,3,0,2,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
4,1,"[58, 5, 517, 29, 497]",50907,6207,68,13.6,603,124,1,30,21,42,67,49,0,0,0,2,2,0,0,0,1,2,1,1,0,"[64, 69, 875, 202, 133]",46056,1666,62,12.4,593,144,0,21,30,39,100,24,1,0,3,3,0,1,2,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0
5,0,"[157, 84, 37, 360, 104]",47890,2196,67,13.4,509,112,0,27,43,27,53,21,0,0,0,1,0,1,0,0,0,0,1,0,0,"[81, 53, 74, 15, 56]",57327,4463,74,14.8,524,156,1,43,27,64,53,17,1,1,3,8,3,2,3,1,1,4,1,1,1,0,0,0,0,0,2,1,0,1,0
6,1,"[517, 54, 555, 4, 111]",57490,5940,79,15.8,192,0,1,43,34,106,0,0,1,1,2,3,3,0,0,2,0,0,0,0,0,"[113, 22, 122, 236, 53]",50902,52,73,14.6,182,0,0,34,43,90,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,"[29, 497, 876, 114, 39]",54959,6181,70,14.0,725,179,0,27,21,38,67,36,1,0,2,5,3,0,2,0,1,3,2,0,0,"[40, 84, 119, 164, 28]",46780,4959,68,13.6,571,153,1,21,27,33,77,19,0,0,0,3,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
8,1,"[117, 164, 104, 7, 22]",36180,812,52,10.4,379,103,1,25,10,26,38,10,1,0,1,4,1,1,2,0,0,1,1,0,0,"[421, 69, 84, 236, 267]",26547,905,45,9.0,377,66,0,10,25,4,35,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
9,0,"[104, 360, 3, 126, 235]",24916,2201,42,8.4,315,82,0,5,28,5,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"[875, 119, 44, 20, 107]",40743,5468,53,10.6,393,102,1,28,5,39,27,5,1,1,1,8,5,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0
10,0,"[59, 117, 81, 164, 43]",46925,2213,65,13.0,687,154,1,17,19,14,60,37,1,0,1,3,1,1,1,0,0,0,2,0,0,"[114, 51, 76, 412, 236]",50557,3007,70,14.0,633,212,0,19,17,23,117,24,0,0,0,4,2,1,1,0,1,3,0,1,1,0,0,0,0,0,1,1,0,1,0
