,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
0,1,"[22, 76, 133, 111, 4]",6558,3108,17,3.4,65,19,0,2,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[236, 84, 64, 89, 235]",6571,2801,17,3.4,70,16,1,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,"[54, 432, 104, 61, 51]",6032,1332,15,3.0,64,12,0,1,5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[119, 3, 412, 5, 24]",7550,1095,15,3.0,54,12,1,5,1,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,"[517, 40, 876, 24, 81]",6171,2621,17,3.4,62,24,1,1,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[22, 120, 555, 38, 8]",5505,3005,17,3.4,60,19,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,"[201, 76, 84, 22, 875]",5992,3492,17,3.4,75,23,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[55, 64, 44, 164, 429]",5913,3413,18,3.6,70,28,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,"[58, 5, 517, 29, 497]",6164,1839,17,3.4,63,12,1,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"[64, 69, 875, 202, 133]",6209,2059,17,3.4,73,20,0,1,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,"[157, 84, 37, 360, 104]",4919,2294,15,3.0,35,12,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[81, 53, 74, 15, 56]",6674,3474,18,3.6,61,28,1,3,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,"[517, 54, 555, 4, 111]",15157,4887,30,6.0,33,0,1,5,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[113, 22, 122, 236, 53]",15405,7055,30,6.0,36,0,0,8,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,"[29, 497, 876, 114, 39]",5771,2371,16,3.2,73,24,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"[40, 84, 119, 164, 28]",6273,2148,17,3.4,62,16,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,"[117, 164, 104, 7, 22]",6300,3150,15,3.0,63,19,1,1,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[421, 69, 84, 236, 267]",5572,2872,16,3.2,64,20,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,"[104, 360, 3, 126, 235]",5992,2117,16,3.2,61,19,0,1,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[875, 119, 44, 20, 107]",6317,2892,16,3.2,55,12,1,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,"[59, 117, 81, 164, 43]",6578,2053,15,3.0,50,16,1,3,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[114, 51, 76, 412, 236]",6407,2982,16,3.2,58,24,0,2,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,"[876, 126, 29, 13, 497]",5772,2247,17,3.4,62,16,0,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"[39, 202, 104, 80, 38]",6932,2307,18,3.6,72,24,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,"[245, 21, 24, 44, 517]",6400,2300,17,3.4,55,27,0,2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[164, 58, 60, 875, 236]",6865,2315,16,3.2,65,14,1,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,"[60, 238, 115, 107, 80]",6522,3222,15,3.0,48,13,0,3,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[120, 69, 22, 111, 236]",6534,2239,14,2.8,64,12,1,2,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,"[120, 3, 235, 875, 58]",6293,2618,18,3.6,63,24,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[150, 497, 29, 876, 517]",6159,2704,17,3.4,82,27,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,"[110, 43, 55, 80, 37]",14837,6487,30,6.0,35,0,1,5,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[4, 31, 9, 235, 134]",13921,3826,30,6.0,33,0,0,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,"[203, 16, 154, 246, 38]",15579,5979,30,6.0,33,0,0,9,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[67, 7, 268, 136, 98]",14819,2384,30,6.0,41,0,1,5,9,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,"[875, 99, 350, 245, 51]",6048,2948,15,3.0,42,16,0,2,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[54, 202, 99, 517, 59]",6960,3000,15,3.0,58,8,1,4,2,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,"[23, 111, 98, 236, 85]",15370,7495,30,6.0,33,0,0,8,5,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[51, 103, 235, 58, 90]",15228,4378,30,6.0,41,0,1,5,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
