,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
11778,1,"[412, 350, 157, 15, 90]",49513,10948,73,14.6,203,0,1,20,22,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[40, 35, 55, 246, 110]",51094,11544,74,14.8,214,0,0,22,20,65,0,0,1,1,2,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11779,1,"[875, 25, 114, 202, 39]",34919,4074,52,10.4,452,111,1,16,4,23,55,14,1,0,1,4,1,2,1,0,0,0,2,0,0,"[23, 22, 60, 164, 43]",27439,2111,49,9.8,400,121,0,4,16,5,31,14,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0
11780,1,"[84, 3, 412, 266, 61]",57160,660,83,16.6,199,0,1,53,42,118,0,0,1,0,2,2,2,0,0,1,0,0,0,0,0,"[4, 14, 80, 35, 21]",56032,6687,82,16.4,196,0,0,42,53,109,0,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11781,0,"[84, 76, 236, 875, 202]",21355,3045,43,8.6,357,84,0,3,20,3,64,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"[120, 235, 4, 164, 22]",32954,5128,51,10.2,369,104,1,20,3,21,33,10,1,0,3,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11782,1,"[51, 245, 246, 164, 875]",34244,2211,54,10.8,377,103,0,20,23,17,33,12,1,0,3,1,0,0,1,0,1,1,2,0,0,"[223, 222, 876, 236, 114]",37126,4326,53,10.6,431,116,1,23,20,27,40,10,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11783,1,"[104, 4, 58, 202, 80]",38488,5558,51,10.2,424,127,1,18,9,25,46,3,1,0,2,8,4,2,2,0,1,1,2,0,0,"[51, 43, 60, 91, 133]",25602,2062,46,9.2,354,55,0,9,18,15,24,6,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11784,0,"[235, 201, 164, 104, 142]",30498,4665,53,10.6,471,114,1,9,7,9,57,11,1,0,2,1,1,0,0,0,1,1,1,0,0,"[84, 91, 30, 111, 202]",27248,2573,50,10.0,434,109,0,7,9,9,41,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
11785,0,"[80, 163, 236, 30, 120]",30608,1770,50,10.0,388,115,0,13,24,19,29,15,0,0,0,1,1,0,0,0,0,0,0,0,0,"[114, 111, 164, 145, 64]",35924,5831,54,10.8,393,118,1,24,13,24,40,13,1,0,3,3,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0
11786,1,"[517, 51, 98, 64, 432]",30446,1441,52,10.4,436,116,1,10,6,13,144,13,0,0,0,1,0,0,1,0,1,2,0,0,0,"[104, 202, 99, 61, 84]",28265,1332,50,10.0,458,97,0,6,10,4,93,15,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
11787,1,"[126, 236, 164, 555, 30]",32509,2146,51,10.2,408,95,0,18,18,20,41,10,0,0,0,0,0,0,0,0,0,0,1,0,0,"[58, 876, 98, 84, 202]",33971,4006,54,10.8,437,101,1,18,18,19,85,16,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
