,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
4520,0,"[202, 876, 875, 432, 6]",22110,4960,42,8.4,344,77,0,6,8,10,71,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"[517, 111, 98, 22, 104]",22557,5087,43,8.6,322,75,1,8,6,16,108,8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
4521,0,"[4, 35, 41, 22, 24]",20988,3128,40,8.0,299,65,0,4,13,6,25,5,0,0,0,0,0,0,0,0,0,0,1,0,0,"[39, 497, 517, 60, 202]",23328,4803,42,8.4,325,52,1,13,4,15,41,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4522,1,"[517, 60, 350, 164, 29]",24602,2382,41,8.2,298,56,1,12,12,16,24,7,0,0,0,0,0,0,0,0,0,0,1,0,0,"[117, 104, 27, 523, 4]",24680,915,42,8.4,307,73,0,12,12,17,28,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4523,1,"[164, 7, 104, 3, 145]",21065,3500,41,8.2,317,57,1,6,7,9,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,"[22, 84, 64, 92, 35]",20798,3118,40,8.0,313,58,0,7,6,4,22,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4524,1,"[9, 110, 21, 266, 63]",43398,6958,67,13.4,158,0,1,34,22,87,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,"[777, 107, 203, 55, 26]",39476,4051,65,13.0,157,0,0,22,34,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4525,1,"[63, 51, 36, 876, 9]",42036,6851,65,13.0,163,0,0,25,28,62,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,"[81, 12, 267, 103, 246]",41163,5755,65,13.0,145,0,1,28,25,73,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4526,0,"[67, 103, 106, 15, 516]",40707,2527,64,12.8,143,0,0,23,39,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[222, 54, 145, 518, 99]",45951,7126,70,14.0,166,0,1,39,23,93,0,0,1,1,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4527,0,"[236, 99, 81, 20, 777]",18814,1879,38,7.6,253,60,0,5,14,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[84, 104, 57, 67, 40]",22733,3408,44,8.8,251,64,1,14,5,10,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4528,0,"[89, 122, 99, 24, 236]",44207,5609,66,13.2,145,0,1,35,34,95,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,"[105, 103, 12, 235, 38]",42934,1899,67,13.4,139,0,0,34,35,104,1,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4529,1,"[105, 126, 20, 50, 68]",42146,1306,69,13.8,146,0,0,31,45,66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[201, 115, 40, 161, 133]",45641,1116,71,14.2,143,0,1,45,31,115,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4530,1,"[22, 112, 131, 51, 76]",40558,3853,64,12.8,163,0,0,23,32,63,30,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"[31, 58, 21, 9, 96]",42695,4060,67,13.4,161,0,1,32,23,64,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4531,0,"[22, 517, 84, 104, 412]",22577,2572,40,8.0,306,65,1,9,8,12,30,14,0,0,0,0,0,0,0,0,0,0,1,0,0,"[223, 98, 64, 142, 523]",22235,4025,43,8.6,316,76,0,8,9,15,108,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4532,0,"[236, 28, 202, 106, 80]",21669,4019,38,7.6,277,55,0,11,19,16,36,7,0,0,0,0,0,0,0,0,1,1,0,0,0,"[39, 164, 60, 145, 875]",26177,4577,41,8.2,290,59,1,19,11,27,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4533,0,"[121, 266, 60, 74, 51]",35956,6241,59,11.8,142,0,0,10,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[412, 106, 31, 236, 61]",41497,13147,64,12.8,176,0,1,23,10,73,3,0,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4534,1,"[235, 60, 61, 412, 110]",42298,4048,65,13.0,145,0,1,29,14,92,0,1,1,1,2,1,1,0,0,1,0,0,0,0,0,"[16, 57, 35, 76, 67]",36796,3131,60,12.0,118,0,0,14,29,34,29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4535,0,"[236, 76, 111, 10, 523]",24270,3830,43,8.6,343,86,1,7,5,11,53,10,1,0,3,1,0,0,1,0,1,1,1,0,0,"[126, 104, 142, 89, 21]",22634,3759,42,8.4,376,69,0,5,7,9,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4536,0,"[432, 202, 875, 55, 60]",18600,1595,37,7.4,262,50,1,5,11,5,64,11,0,0,0,0,0,0,0,0,0,0,0,0,0,"[84, 164, 81, 76, 53]",23647,4672,40,8.0,296,85,0,11,5,11,86,9,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4537,0,"[163, 235, 111, 142, 126]",41984,2739,66,13.2,149,0,0,31,27,88,25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"[79, 54, 412, 62, 555]",44267,4807,65,13.0,133,0,1,27,31,66,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4538,0,"[777, 64, 45, 142, 80]",43309,2449,66,13.2,162,0,1,35,29,96,25,0,1,0,2,1,1,0,0,0,0,0,0,0,0,"[3, 81, 13, 5, 126]",42278,2940,66,13.2,157,0,0,29,35,81,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4539,0,"[523, 82, 15, 40, 55]",40286,5161,64,12.8,159,0,1,22,19,43,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"[105, 236, 117, 245, 238]",39035,3150,63,12.6,168,0,0,19,22,45,2,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4540,0,"[143, 516, 64, 110, 254]",41632,1937,66,13.2,147,0,0,29,47,60,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[30, 40, 29, 69, 25]",46841,4521,70,14.0,153,0,1,47,29,135,0,0,1,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4541,0,"[113, 29, 48, 103, 4]",41487,2517,64,12.8,144,0,1,29,26,74,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"[78, 235, 22, 11, 112]",41891,5701,65,13.0,145,0,0,26,29,66,0,0,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4542,0,"[110, 113, 3, 267, 222]",35219,7044,58,11.6,115,0,0,16,25,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[84, 51, 64, 142, 105]",40496,5391,62,12.4,144,0,1,25,16,47,26,0,1,1,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4543,0,"[35, 30, 67, 82, 7]",37987,2027,61,12.2,145,0,0,15,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[76, 555, 497, 350, 10]",44549,7714,66,13.2,151,0,1,30,15,92,39,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4544,1,"[246, 110, 80, 266, 17]",43218,6725,67,13.4,173,0,0,30,26,50,26,17,1,0,2,2,2,0,0,0,0,0,0,0,0,"[21, 76, 67, 45, 35]",41003,1998,64,12.8,163,0,1,26,30,59,35,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545,0,"[84, 98, 266, 85, 20]",42877,4242,67,13.4,125,0,0,35,38,79,51,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"[268, 245, 117, 40, 21]",44419,4529,67,13.4,155,0,1,38,35,113,0,0,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4546,0,"[79, 141, 98, 75, 127]",44823,4053,70,14.0,144,0,0,39,31,97,84,0,1,1,2,2,2,0,0,1,0,0,0,0,0,"[236, 40, 83, 497, 67]",43075,1657,66,13.2,146,0,1,31,39,90,432,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4547,1,"[85, 59, 81, 3, 875]",23184,1789,40,8.0,308,48,1,9,7,12,23,12,1,0,3,1,0,0,1,0,0,0,0,0,0,"[523, 432, 61, 39, 876]",22009,3304,42,8.4,317,80,0,7,9,11,90,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4548,1,"[111, 30, 126, 777, 236]",22903,4508,43,8.6,325,88,0,9,7,11,24,6,0,0,0,0,0,0,0,0,1,1,0,0,0,"[58, 555, 245, 134, 157]",22101,3526,41,8.2,325,63,1,7,9,8,25,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4549,0,"[103, 120, 202, 266, 412]",23917,5205,40,8.0,308,64,0,8,11,12,45,5,1,0,1,1,0,1,0,0,0,0,1,0,0,"[875, 523, 61, 104, 3]",24642,5627,45,9.0,360,88,1,11,8,16,19,12,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0
4550,1,"[68, 79, 84, 64, 21]",21174,5354,43,8.6,306,77,1,7,4,9,31,11,0,0,0,0,0,0,0,0,1,1,1,0,0,"[39, 120, 81, 517, 43]",20635,3830,43,8.6,353,72,0,4,7,3,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4551,1,"[202, 64, 61, 58, 43]",28043,3923,46,9.2,350,68,0,16,7,18,34,9,0,0,0,1,0,0,1,0,1,1,1,0,0,"[875, 517, 51, 104, 266]",19974,2479,41,8.2,283,69,1,7,16,8,20,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4552,0,"[876, 111, 236, 98, 235]",21979,2699,42,8.4,296,85,1,8,5,11,78,6,0,0,0,0,0,0,0,0,0,0,1,0,0,"[80, 163, 157, 164, 61]",20195,3125,41,8.2,310,72,0,5,8,6,21,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4553,1,"[84, 141, 80, 51, 266]",23498,1988,44,8.8,342,81,0,8,7,10,34,4,0,0,0,1,1,0,0,0,0,0,1,0,0,"[43, 58, 30, 222, 236]",23569,4763,43,8.6,332,101,1,7,8,9,21,10,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4554,1,"[24, 432, 51, 84, 64]",27048,4873,44,8.8,317,62,0,16,6,22,64,8,1,0,1,1,0,1,0,0,0,0,1,0,0,"[875, 236, 76, 202, 27]",23199,2784,44,8.8,368,89,1,6,16,5,97,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4555,1,"[53, 142, 141, 126, 202]",24515,3260,43,8.6,328,80,0,10,12,10,68,12,1,0,1,1,0,1,0,0,0,0,1,0,0,"[161, 236, 875, 22, 412]",24194,4339,43,8.6,346,65,1,12,10,14,29,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0
4556,1,"[40, 163, 164, 81, 117]",26194,2352,43,8.6,294,55,1,17,9,15,23,1,1,0,3,2,0,0,2,0,0,0,0,0,0,"[8, 81, 80, 245, 114]",21585,3750,42,8.4,251,51,0,9,17,9,18,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4557,1,"[53, 201, 131, 142, 164]",41335,1072,64,12.8,128,0,0,28,28,68,27,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"[82, 266, 69, 555, 85]",43765,4905,66,13.2,147,0,1,28,28,73,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4558,0,"[59, 13, 142, 134, 76]",44150,1990,71,14.2,161,0,1,41,30,113,58,0,1,0,2,1,1,0,0,0,0,0,0,0,0,"[84, 10, 31, 245, 96]",41557,3067,67,13.4,144,0,0,30,41,58,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
