,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
0,1,"[22, 76, 133, 111, 4]",11675,1275,26,5.2,156,35,0,4,5,2,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[236, 84, 64, 89, 235]",11684,2264,26,5.2,157,24,1,5,4,6,10,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,"[54, 432, 104, 61, 51]",12803,2848,26,5.2,142,24,0,7,11,11,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[119, 3, 412, 5, 24]",14325,3685,27,5.4,135,35,1,11,7,15,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,"[517, 40, 876, 24, 81]",11524,3789,28,5.6,155,48,1,4,1,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[22, 120, 555, 38, 8]",9755,2230,26,5.2,127,35,0,1,4,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,"[201, 76, 84, 22, 875]",10577,2377,27,5.4,159,49,1,1,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[55, 64, 44, 164, 429]",9805,2530,26,5.2,154,36,0,0,1,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,"[58, 5, 517, 29, 497]",11308,1543,26,5.2,143,28,1,5,2,4,9,4,0,0,0,0,0,0,0,0,1,1,0,0,0,"[64, 69, 875, 202, 133]",10780,2005,26,5.2,159,32,0,2,5,4,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0,"[157, 84, 37, 360, 104]",9893,2468,26,5.2,114,21,0,3,7,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[81, 53, 74, 15, 56]",12294,1669,29,5.8,130,47,1,7,3,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,"[517, 54, 555, 4, 111]",24947,4077,43,8.6,64,0,1,16,18,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[113, 22, 122, 236, 53]",25329,3359,45,9.0,75,0,0,18,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,"[29, 497, 876, 114, 39]",12115,2415,28,5.6,164,52,0,4,3,4,10,6,0,0,0,0,0,0,0,0,1,1,0,0,0,"[40, 84, 119, 164, 28]",11488,2183,26,5.2,144,32,1,3,4,3,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,1,"[117, 164, 104, 7, 22]",12014,2254,27,5.4,139,26,1,6,3,6,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"[421, 69, 84, 236, 267]",10289,1904,27,5.4,139,32,0,3,6,0,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0,"[104, 360, 3, 126, 235]",10713,2503,26,5.2,135,47,0,2,7,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[875, 119, 44, 20, 107]",12148,2218,27,5.4,135,24,1,7,2,9,8,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
