blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
1,14671,2246,31,6.2,170,39,0,8,8,12,23,1,0,0,0,0,0,0,0,0,0,0,0,14017,2197,29,5.8,178,28,1,8,8,9,13,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1,14777,3372,29,5.8,168,24,0,8,12,13,30,1,0,0,0,0,0,0,0,0,0,0,0,16275,2840,30,6.0,168,35,1,12,8,17,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13000,3450,31,6.2,185,54,1,4,2,1,14,1,0,0,0,0,0,0,0,0,0,0,0,11580,3630,28,5.6,162,39,0,2,4,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14861,2131,30,6.0,172,32,0,9,4,8,30,4,0,0,0,0,0,0,0,0,0,0,0,11879,2934,27,5.4,147,36,1,4,9,1,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12139,2614,31,6.2,189,59,1,1,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,11422,2547,30,6.0,190,44,0,0,1,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13539,1019,28,5.6,168,32,1,7,5,8,10,4,0,0,0,0,0,0,0,0,1,1,0,13710,2675,30,6.0,190,40,0,5,7,10,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,11628,2898,29,5.8,138,32,0,4,7,1,10,1,0,0,0,0,0,0,0,0,0,0,0,13925,3000,31,6.2,163,55,1,7,4,6,10,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1,29214,4844,48,9.6,82,0,1,20,19,48,0,0,1,0,2,1,1,0,0,0,0,0,0,27590,4370,47,9.4,84,0,0,19,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13767,1892,31,6.2,202,64,0,4,3,4,13,6,0,0,0,0,0,0,0,0,1,1,0,12913,2053,31,6.2,169,44,1,3,4,3,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,14781,5021,32,6.4,170,34,1,9,4,9,13,3,0,0,0,0,0,0,0,0,0,0,0,11678,1718,28,5.6,153,36,0,4,9,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
