blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
1,40010,3125,55,11.0,432,105,0,26,15,33,85,15,1,0,1,4,1,2,1,0,0,1,1,30033,853,48,9.6,423,79,1,15,26,19,44,13,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
1,50004,3905,67,13.4,639,153,0,21,28,37,134,23,0,0,0,2,1,1,0,0,0,0,2,57928,3874,70,14.0,624,175,1,28,21,52,146,25,1,1,3,10,5,3,2,2,1,3,0,0,0,0,0,0,1,1,0,1,0
1,36454,9526,56,11.2,466,135,1,14,11,18,40,13,1,1,2,6,5,0,1,1,1,1,2,31156,1673,53,10.6,472,91,0,11,14,10,38,13,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,36831,2248,52,10.4,386,87,0,29,8,29,68,10,1,0,2,3,1,1,1,0,1,1,1,24705,4580,45,9.0,317,68,1,8,29,5,60,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,51129,4029,70,14.0,560,204,1,29,10,69,98,29,0,0,0,4,2,0,2,0,0,2,1,40152,2269,59,11.8,554,123,0,10,29,27,76,21,1,0,1,3,0,2,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0
1,50907,6207,68,13.6,603,124,1,30,21,42,67,49,0,0,0,2,2,0,0,0,1,2,1,46056,1666,62,12.4,593,144,0,21,30,39,100,24,1,0,3,3,0,1,2,0,0,1,1,0,0,1,1,0,1,0,0,0,0
0,47890,2196,67,13.4,509,112,0,27,43,27,53,21,0,0,0,1,0,1,0,0,0,0,1,57327,4463,74,14.8,524,156,1,43,27,64,53,17,1,1,3,8,3,2,3,1,1,4,1,0,0,0,0,0,2,1,0,1,0
1,57490,5940,79,15.8,192,0,1,43,34,106,0,0,1,1,2,3,3,0,0,2,0,0,0,50902,52,73,14.6,182,0,0,34,43,90,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,54959,6181,70,14.0,725,179,0,27,21,38,67,36,1,0,2,5,3,0,2,0,1,3,2,46780,4959,68,13.6,571,153,1,21,27,33,77,19,0,0,0,3,0,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1,36180,812,52,10.4,379,103,1,25,10,26,38,10,1,0,1,4,1,1,2,0,0,1,1,26547,905,45,9.0,377,66,0,10,25,4,35,7,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,24916,2201,42,8.4,315,82,0,5,28,5,27,5,0,0,0,0,0,0,0,0,0,0,0,40743,5468,53,10.6,393,102,1,28,5,39,27,5,1,1,1,8,5,2,1,1,1,2,1,0,0,0,0,0,0,0,1,1,0
