blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
1,40010,3125,55,11.0,432,105,0,26,15,33,85,15,1,0,1,4,1,2,1,0,0,1,1,30033,853,48,9.6,423,79,1,15,26,19,44,13,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
1,57439,5391,76,15.2,721,165,0,24,28,41,158,33,0,0,0,2,1,1,0,0,0,0,2,61806,3247,71,14.2,667,207,1,28,24,52,166,31,1,1,3,10,5,3,2,2,1,4,0,0,0,0,0,0,2,1,0,1,0
1,36454,9526,56,11.2,466,135,1,14,11,18,40,13,1,1,2,6,5,0,1,1,1,1,2,31156,1673,53,10.6,472,91,0,11,14,10,38,13,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,36831,2248,52,10.4,386,87,0,29,8,29,68,10,1,0,2,3,1,1,1,0,1,1,1,24705,4580,45,9.0,317,68,1,8,29,5,60,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,51129,4029,70,14.0,560,204,1,29,10,69,98,29,0,0,0,4,2,0,2,0,0,2,1,40152,2269,59,11.8,554,123,0,10,29,27,76,21,1,0,1,3,0,2,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0
1,50907,6207,68,13.6,603,124,1,30,21,42,67,49,0,0,0,2,2,0,0,0,1,2,1,46056,1666,62,12.4,593,144,0,21,30,39,100,24,1,0,3,3,0,1,2,0,0,1,1,0,0,1,1,0,1,0,0,0,0
0,50629,3194,69,13.8,533,116,0,29,48,29,53,21,0,0,0,1,0,1,0,0,0,0,1,61088,5363,77,15.4,539,160,1,48,29,74,56,17,1,1,3,10,5,2,3,1,1,4,1,0,0,0,0,0,2,1,0,1,0
1,57490,5940,79,15.8,192,0,1,43,34,106,0,0,1,1,2,3,3,0,0,2,0,0,0,50902,52,73,14.6,182,0,0,34,43,90,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,61638,9270,76,15.2,757,195,0,35,21,59,71,38,1,1,2,8,5,1,2,2,1,3,2,49506,1908,70,14.0,578,157,1,21,35,33,79,19,0,0,0,3,0,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1,36180,812,52,10.4,379,103,1,25,10,26,38,10,1,0,1,4,1,1,2,0,0,1,1,26547,905,45,9.0,377,66,0,10,25,4,35,7,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,24916,2201,42,8.4,315,82,0,5,28,5,27,5,0,0,0,0,0,0,0,0,0,0,0,40743,5468,53,10.6,393,102,1,28,5,39,27,5,1,1,1,8,5,2,1,1,1,2,1,0,0,0,0,0,0,0,1,1,0
0,50424,3577,67,13.4,735,162,1,17,23,14,68,41,1,0,1,3,1,1,1,0,0,0,2,58157,1032,75,15.0,682,248,0,23,17,36,137,31,0,0,0,5,3,1,1,0,1,4,0,0,0,0,0,0,1,2,0,1,0
0,53337,-2663,70,14.0,722,149,0,23,42,43,77,37,0,0,0,0,0,0,0,0,0,1,0,69431,7741,81,16.2,787,224,1,42,23,64,106,38,1,1,1,12,5,3,4,3,1,2,2,0,1,0,0,0,1,0,1,0,0
0,26160,2610,43,8.6,341,73,1,9,31,12,29,11,0,0,0,0,0,0,0,0,0,0,0,38381,4848,52,10.4,410,115,0,31,9,40,59,8,1,0,3,3,2,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0,51720,3287,71,14.2,740,160,0,16,24,40,82,35,0,0,0,3,1,1,1,0,1,2,0,60279,5021,76,15.2,789,193,1,24,16,36,71,33,1,1,1,8,3,3,2,2,0,2,2,0,1,1,0,0,0,1,0,1,0
1,63819,8019,76,15.2,637,250,0,45,16,51,99,49,1,1,3,9,5,2,2,2,0,2,2,49137,2129,66,13.2,708,118,1,16,45,14,85,32,0,0,0,5,1,2,2,0,1,2,0,1,0,0,1,0,0,0,1,1,0
0,47520,2047,64,12.8,584,138,1,22,30,40,77,34,1,0,1,2,1,1,0,0,0,1,1,54998,5843,73,14.6,614,198,0,30,22,64,79,29,0,0,0,4,1,1,2,0,1,3,1,0,1,0,0,0,1,1,1,0,0
1,51536,9516,77,15.4,196,0,1,38,24,98,0,0,0,1,0,1,1,0,0,1,0,0,0,46936,2886,72,14.4,180,0,0,24,38,64,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,36795,2660,60,12.0,116,0,0,31,22,83,0,0,0,0,0,0,0,0,0,0,0,0,0,36537,5382,59,11.8,127,0,1,22,31,48,25,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47799,3007,68,13.6,507,82,0,23,39,44,57,19,0,0,0,1,0,1,0,0,0,0,0,60021,3562,70,14.0,538,175,1,39,23,59,93,21,1,1,3,10,4,3,3,2,1,4,1,0,0,0,0,0,1,0,2,1,0
0,61887,3057,87,17.4,218,0,0,47,48,126,75,0,0,0,0,2,2,0,0,1,0,0,0,64250,8505,89,17.8,231,0,1,48,47,115,0,0,1,1,2,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,57870,4607,82,16.4,208,0,1,37,29,112,37,0,1,1,2,4,4,0,0,2,0,0,0,52333,5152,78,15.6,208,0,0,29,37,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,69527,5292,90,18.0,262,0,1,63,47,148,174,0,1,1,2,4,4,0,0,1,0,0,0,63602,2452,89,17.8,215,0,0,47,63,94,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35720,6675,58,11.6,124,0,0,14,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,41966,12716,67,13.4,134,0,1,30,14,92,0,0,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,70454,10304,90,18.0,278,0,0,51,51,133,77,0,0,0,0,4,4,0,0,1,0,0,0,68165,4215,90,18.0,247,0,1,51,51,153,0,1,1,1,2,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,60294,11726,86,17.2,231,0,0,46,39,125,0,0,0,0,0,4,4,0,0,1,0,0,0,56951,-374,80,16.0,217,0,1,39,46,69,0,0,1,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,67471,9611,90,18.0,267,0,0,48,45,98,0,0,0,0,0,3,3,0,0,1,0,0,0,64102,1505,88,17.6,267,0,1,45,48,90,0,0,1,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,63852,2046,90,18.0,248,0,1,48,48,103,44,0,0,0,0,1,1,0,0,0,0,0,0,66620,4645,90,18.0,253,0,0,48,48,111,14,1,1,1,2,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47560,5000,72,14.4,192,0,0,28,43,51,26,0,0,0,0,0,0,0,0,0,0,0,0,52991,5506,79,15.8,176,0,1,43,28,122,26,0,1,1,2,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,73906,4441,90,18.0,279,0,1,40,65,82,74,0,0,0,0,2,2,0,0,1,0,0,0,79516,10483,90,18.0,306,0,0,65,40,178,74,0,1,1,2,5,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54525,2317,80,16.0,208,0,0,41,41,110,0,2,1,0,2,1,1,0,0,0,0,0,0,58315,6797,81,16.2,220,0,1,41,41,109,31,0,0,1,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,88699,9016,90,18.0,383,0,1,66,63,128,4,0,1,1,2,4,4,0,0,2,0,0,0,85485,2035,90,18.0,378,0,0,63,66,145,412,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
